date,folderpath,foldername,reduced_foldername,reduced_jjdescription,jj_description,jj_type,cbix1/2,disease_category,disease_category_jj,partner,study,experiment,organism,tissue,cell_type,sample,disease,cell_line,gene/protein,treatment,lab,employee,company,.zip_counts,.json_counts,.bam_counts,.tsv_counts,.csv_counts,.gz_counts,.txt_counts
2022-06-01,../../mnt/data/research_data/2022-06-01-rrbs_mouse_aging_microbiome_peace,2022-06-01-rrbs_mouse_aging_microbiome_peace,-___microbiome_,   microbiome,Peace mouse aging microbiome,RRBS,CBIX,,,,,Reduced-Representation Bisulfite Sequencing (RRBS-seq),Mouse,,,,Aging,,,,The Issa & Jelenik Lab,Peace Park,,570,0,140,9,3,844,883
2022-04-30,../../mnt/data/research_data/2022-04-30_arsa_mplex1,2022-04-30_arsa_mplex1,__mplex1,  ,JJ ARSA Gain Therapeutics,ampliseq,CBIX,,,,,AmpliSeq,,,,,,,Arylsulfatase A (ARSA),,The Issa & Jelenik Lab,Jaroslav Jelinek,Gain Therapeutics,32,0,8,8,1,64,25
2023-03-30,../../mnt/data/research_data/2023-03-30_bisamp_x15_colon_direct,2023-03-30_bisamp_x15_colon_direct,__x15__direct,,,,CBIX,,,,,Bisulfite Amplicon (BSAS),,Colon,,,,,,,,,,384,0,96,297,1,1152,480
2020-05-26,../../mnt/data/research_data/2020-05-26_rnaseq_gu114_woonbok,2020-05-26_rnaseq_gu114_woonbok,___,  trial  cd8 lymphocytes,Woonbok GU114 trial human CD8 lymphocytes,RNA-seq,CBIX,,,,,RNA-seq,Human,,,,,GU114,,,The Issa & Jelenik Lab,Woonbok Chung,,0,0,0,0,2,50,1
2023-03-16,../../mnt/data/research_data/2023-03-16_bisamp_ninds,2023-03-16_bisamp_ninds,__,,,,CBIX,,,National Institute of Neurological Disorders and Stroke (NINDS),,Bisulfite Amplicon (BSAS),,,,,,,,,,,,316,0,79,412,1,948,396
2022-07-29,../../mnt/data/research_data/2022-07-29_cuh_repeat_bisamp_micro,2022-07-29_cuh_repeat_bisamp_micro,_cuh_repeat__micro,  ,Woonbok Cooper blood,bisamp,CBIX,,,Cooper,,Bisulfite Amplicon (BSAS),,Blood,,,,,,,The Issa & Jelenik Lab,Woonbok Chung,,384,1,96,475,1,1164,480
2024-01-03,../../mnt/data/research_data/2024-01-03_rrbs_himani_mouse,2024-01-03_rrbs_himani_mouse,___,,,,CBIX,,,,,Reduced-Representation Bisulfite Sequencing (RRBS-seq),Mouse,,,,,,,,The Issa & Jelenik Lab,Himani Vaidya,,2,1,0,0,0,64,35
2021-05-19,../../mnt/data/research_data/2021-05-19_miseq_nano,2021-05-19_miseq_nano,__nano,  cord ,Woonbok NINDS cord blood,bisamp,CBIX,,,National Institute of Neurological Disorders and Stroke (NINDS),,"MiSeq Nano,Bisulfite Amplicon (BSAS),MiSeq",,"Blood,Cord Blood",,,,,,,The Issa & Jelenik Lab,Woonbok Chung,,98,0,24,99,0,294,122
2022-05-07,../../mnt/data/research_data/2022-05-07_arsa_merge_mplex12,2022-05-07_arsa_merge_mplex12,__merge_mplex12,  ,JJ ARSA Gain Therapeutics,ampliseq,CBIX,,,,,AmpliSeq,,,,,,,Arylsulfatase A (ARSA),,The Issa & Jelenik Lab,Jaroslav Jelinek,Gain Therapeutics,0,0,4,0,0,36,5
2022-05-09,../../mnt/data/research_data/2022-05-09_rrbs_apcmin_mouse_colon_peace_miseq_nano,2022-05-09_rrbs_apcmin_mouse_colon_peace_miseq_nano,_______nano,   ,Peace APCmin mouse colon,RRBS,CBIX,,,,,"MiSeq Nano,Reduced-Representation Bisulfite Sequencing (RRBS-seq),MiSeq",Mouse,Colon,,,,C57BL/6J (ApcMin),,,The Issa & Jelenik Lab,Peace Park,,0,0,0,0,1,72,0
2020-02-21,../../mnt/data/research_data/2020-02-21_italo_tempera_lab_RNAseq,2020-02-21_italo_tempera_lab_RNAseq,___, tempera  ct sg  ct  ,Italo Tempera GM12878 ct sg LCL ct gsk olaparib,RNA-seq,CBIX,,,GSK,,RNA-seq,Human,,Lymphoblastoid Cell Lines (LCLs),,,GM12878,,Olaparib,Tempera Lab,Italo Tempera,,196,14,0,0,0,196,13
2023-10-06,../../mnt/data/research_data/2023-10-06_bisamp_x15_cuh_blood_sep,2023-10-06_bisamp_x15_cuh_blood_sep,__x15_cuh__sep,,,,CBIX,,,,,Bisulfite Amplicon (BSAS),,Blood,,,,,,,,,,0,0,0,0,1,146,0
2023-04-07,../../mnt/data/research_data/2023-04-07_umut_targeted_seq,2023-04-07_umut_targeted_seq,_umut_targeted_seq,,,,CBIX,,,,,,,,,,,,,,,,,4,1,1,4,0,7,4
2019-12-16,../../mnt/data/research_data/2019-12-16_rnaseq_himani_aging_mouse_rnaseq_bgi,2019-12-16_rnaseq_himani_aging_mouse_rnaseq_bgi,______,     samples,Himani mouse intestine colon aging samples,RRBS,CBIX,,,,,"Reduced-Representation Bisulfite Sequencing (RRBS-seq),RNA-seq",Mouse,"Colon,Intestine",,,Aging,,,,The Issa & Jelenik Lab,Himani Vaidya,BGI,110,0,112,0,0,169,88
2024-03-12,../../mnt/data/research_data/2024-03-12_rnaseq_human_LCL_BDNF_CORI,2024-03-12_rnaseq_human_LCL_BDNF_CORI,_____,,,,CBIX,,,Camden Opioid Research Initiative (CORI),,RNA-seq,Human,,Lymphoblastoid Cell Lines (LCLs),,,,,Brain-Derived Neurotrophic Factor (BDNF),,,,1,0,0,0,0,6,5
2022-07-27,../../mnt/data/research_data/2022-07-27_cpmc2_bisamp_nano_rerun,2022-07-27_cpmc2_bisamp_nano_rerun,_2__nano_rerun,  ,Woonbok saliva CPMC,bisamp,CBIX,,,Coriell Personalized Medicine Collaborative,,Bisulfite Amplicon (BSAS),,Saliva,,,,,,,The Issa & Jelenik Lab,Woonbok Chung,,384,1,96,289,0,1149,480
2023-05-30,../../mnt/data/research_data/2023-05-30_rnaseq_yb5_azd_time_course,2023-05-30_rnaseq_yb5_azd_time_course,____time_course,,,,CBIX,,,,,RNA-seq,Human,,,,,YB5,,AZD-7648 DNA-PK inhibitor (AZD),,,,0,0,0,0,0,34,17
2023-02-23,../../mnt/data/research_data/2023-02-23_crispr_zhaorui_atavistik,2023-02-23_crispr_zhaorui_atavistik,___,  almedia mc180,Zhaorui CRISPR Almedia MC180,CRISPR,CBIX,,,,,CRISPR,,,,,,,,,The Jian Huang Lab,Zhaorui Lian,Atavistik Bio,0,3,0,2,8,56,169
2020-11-17,../../mnt/data/research_data/2020-11-17_bis_amplicons_woonbok,2020-11-17_bis_amplicons_woonbok,_s_,   pcr,Woonbok NINDS bisulfite amplicon PCR,bisamp,CBIX,,,National Institute of Neurological Disorders and Stroke (NINDS),,Bisulfite Amplicon (BSAS),,,,,,,,,The Issa & Jelenik Lab,Woonbok Chung,,555,0,155,0,1,2108,792
2021-11-16,../../mnt/data/research_data/2021-11-16_bis_amplicon_cooper2_96,2021-11-16_bis_amplicon_cooper2_96,__2_96,  ,Woonbok Cooper blood,bisamp,CBIX,,,Cooper,,Bisulfite Amplicon (BSAS),,Blood,,,,,,,The Issa & Jelenik Lab,Woonbok Chung,,960,1,195,681,1,2114,1058
2022-02-09,../../mnt/data/research_data/2022-02-09_bis_amplicon_cooper3_96,2022-02-09_bis_amplicon_cooper3_96,__3_96,  ,Woonbok Cooper blood,bisamp,CBIX,,,Cooper,,Bisulfite Amplicon (BSAS),,Blood,,,,,,,The Issa & Jelenik Lab,Woonbok Chung,,960,0,192,777,3,2112,961
2022-05-19,../../mnt/data/research_data/2022-05-19_ying_wang_rnaseq,2022-05-19_ying_wang_rnaseq,___,yi   ko,Yi Zhang mouse WT ID3 KO,RNA-seq,CBIX,,,,,RNA-seq,Mouse,,,"Wild-type (WT),Knock-out (KO)",,,Inhibitor Of DNA Binding 3 (ID3),,The Shumei Song Lab,"Yann/Yi? Zhang,Peng Wang,Ying",,1,0,0,0,0,44,20
2019-10-03,../../mnt/data/research_data/2019-10-03_sc_whelan_mouse_esophagus,2019-10-03_sc_whelan_mouse_esophagus,_sc___,kelly   ,Kelly Whelan mouse esophagus,scRNA-seq,CBIX,,,,,Single Cell RNA-Seq (scRNA-seq),Mouse,Esophagus,,,,,,,,Kelly Whelan,,0,0,0,0,0,56,0
2019-07-17,../../mnt/data/research_data/2019-07-17_sc_engel_mouse_esc,2019-07-17_sc_engel_mouse_esc,_sc___,nora    male female,Nora Engel mouse ESC male female,scRNA-seq,CBIX,,,,,Single Cell RNA-Seq (scRNA-seq),Mouse,,Embryonic Stem Cells (ESCs),,,,,,The Nora Engel Lab,Nora Engel,,20,0,0,0,0,20,0
2022-11-01,../../mnt/data/research_data/2022-11-01_bisamp_bloodsep_3plex_micro,2022-11-01_bisamp_bloodsep_3plex_micro,__sep_3plex_micro,  separated subpopulations,Woonbok blood separated subpopulations,bisamp,CBIX,,,,,Bisulfite Amplicon (BSAS),,Blood,Blood Separated Subpopulations,,,,,,The Issa & Jelenik Lab,Woonbok Chung,,576,1,96,292,1,1152,481
2019-06-03,../../mnt/data/research_data/2019-06-03_rrbs34_himani,2019-06-03_rrbs34_himani,_34_,   samples,Himani mouse colon samples,RRBS,CBIX,,,,,Reduced-Representation Bisulfite Sequencing (RRBS-seq),Mouse,Colon,,,,,,,The Issa & Jelenik Lab,Himani Vaidya,,36,0,24,0,0,325,102
2023-03-11,../../mnt/data/research_data/2023-03-11_bisamp_x15_cuh3,2023-03-11_bisamp_x15_cuh3,__x15_cuh3,,,,CBIX,,,,,Bisulfite Amplicon (BSAS),,,,,,,,,,,,384,1,96,501,0,1152,481
2021-06-30,../../mnt/data/research_data/2021-06-30_bis_amplicon_blood_aging,2021-06-30_bis_amplicon_blood_aging,___,   96 samples,Woonbok NINDS ELOV13 96 samples,bisamp,CBIX,,,National Institute of Neurological Disorders and Stroke (NINDS),,Bisulfite Amplicon (BSAS),,Blood,,,Aging,,ELOVL Fatty Acid Elongase 3 (ELOVL3),,The Issa & Jelenik Lab,Woonbok Chung,,576,0,96,481,3,1152,480
2023-10-03,../../mnt/data/research_data/2023-10-03_sc_atac_miseq_himani,2023-10-03_sc_atac_miseq_himani,___,,,,CBIX,,,,,"Single Cell ATAC-Seq (scATAC-seq),MiSeq",,,,,,,,,The Issa & Jelenik Lab,Himani Vaidya,,0,0,0,1,4,52,159
2022-03-17,../../mnt/data/research_data/2022-03-17_bis_amplicon_cori_op1r1,2022-03-17_bis_amplicon_cori_op1r1,___op1r1,    ,Woonbok saliva CORI Optin Goals,bisamp,CBIX,Addiction,,Camden Opioid Research Initiative (CORI),"Genomics of Opioid Addiction Longitudinal Study (GOALS) Study,Optimizing Pain Treatment In New Jersey (OPTIN) Study",Bisulfite Amplicon (BSAS),Human,Saliva,,,Opioid Use Disorder,,,,The Issa & Jelenik Lab,Woonbok Chung,,960,0,192,580,3,2112,960
2023-06-12,../../mnt/data/research_data/2023-06-12_chip_cuh,2023-06-12_chip_cuh,__cuh,,,,CBIX,,,,,Chromatin Immunoprecipitation Sequencing (ChIP-Seq),,,,,,,,,,,,64,0,24,58,0,138,50
2023-05-18,../../mnt/data/research_data/2023-05-18_novogene_novaseq_lane_undetermined,2023-05-18_novogene_novaseq_lane_undetermined,__novaseq_lane_undetermined,,,,CBIX,,,,,,,,,,,,,,,,Novogene,2,1,0,0,0,30,11
2021-07-30,../../mnt/data/research_data/2021-07-30_bis_amplicon_saliva96,2021-07-30_bis_amplicon_saliva96,__96,  ,Woonbok CPMC saliva,bisamp,CBIX,,,Coriell Personalized Medicine Collaborative,,Bisulfite Amplicon (BSAS),,Saliva,,,,,,,The Issa & Jelenik Lab,Woonbok Chung,,576,1,96,291,1,1154,577
2020-01-16,../../mnt/data/research_data/2020-01-16_sc_whelan_mouse_esophagus_k4,2020-01-16_sc_whelan_mouse_esophagus_k4,_sc____k4,kelly   old  ,Kelly Whelan young old mouse esophagus,scRNA-seq,CBIX,,,,,Single Cell RNA-Seq (scRNA-seq),Mouse,Esophagus,,,Aging,,,,,Kelly Whelan,,32,0,0,0,1,32,0
2022-10-18,../../mnt/data/research_data/2022-10-18_rnaseq_human_ht29_olivia_cooper,2022-10-18_rnaseq_human_ht29_olivia_cooper,_____, ,Cooper human,RNA-seq,CBIX,,,Cooper,,RNA-seq,Human,,,,,HT-29,,,,Olivia,,2,0,0,0,0,18,11
2022-06-22,../../mnt/data/research_data/2022-06-22_rrbs_human_goals_optin_bela,2022-06-22_rrbs_human_goals_optin_bela,_____bela,    ,JJ CORI GOALS OPTIN saliva,RRBS,CBIX,Addiction,,Camden Opioid Research Initiative (CORI),"Genomics of Opioid Addiction Longitudinal Study (GOALS) Study,Optimizing Pain Treatment In New Jersey (OPTIN) Study",Reduced-Representation Bisulfite Sequencing (RRBS-seq),Human,Saliva,,,Opioid Use Disorder,,,,The Issa & Jelenik Lab,Jaroslav Jelinek,,2,0,0,0,0,128,68
2019-06-18,../../mnt/data/research_data/2019-06-18_rrbs35_human_blood_aging,2019-06-18_rrbs35_human_blood_aging,_35___,    s,Woonbok NINDS aging blood controls,RRBS,CBIX,,,National Institute of Neurological Disorders and Stroke (NINDS),,Reduced-Representation Bisulfite Sequencing (RRBS-seq),Human,Blood,,Control,Aging,,,,The Issa & Jelenik Lab,Woonbok Chung,,50,0,52,0,0,635,195
2019-05-30,../../mnt/data/research_data/2019-05-30_rrbs33_kits,2019-05-30_rrbs33_kits,_33_kits,   and liver comparing  and  bisulfite kits,JJ mouse kidney and liver comparing qiagen and zymo bisulfite kits,RRBS,CBIX,,,,,Reduced-Representation Bisulfite Sequencing (RRBS-seq),Mouse,Kidney,,,,,,,The Issa & Jelenik Lab,Jaroslav Jelinek,"Qiagen,Zymo Research",36,0,24,0,0,312,91
2023-05-22,../../mnt/data/research_data/2023-05-22_rrbs_human_brainoids,2023-05-22_rrbs_human_brainoids,___,,,,CBIX,,,,,Reduced-Representation Bisulfite Sequencing (RRBS-seq),Human,"Brain Organoid,Brain",,,,,,,,,,22,0,0,0,0,22,0
2021-03-05,../../mnt/data/research_data/2021-03-05_crispr_screen_Jian_Huang_lab,2021-03-05_crispr_screen_Jian_Huang_lab,__screen_, huang 4 samples,Jian Huang 4 samples,CRISPR,CBIX,,,,,CRISPR,,,,,,,,,The Jian Huang Lab,Jian Huang,,4,0,0,0,0,4,0
2023-03-22,../../mnt/data/research_data/2023-03-22_bisamp_x15_ninds2,2023-03-22_bisamp_x15_ninds2,__x15_2,,,,CBIX,,,National Institute of Neurological Disorders and Stroke (NINDS),,Bisulfite Amplicon (BSAS),,,,,,,,,,,,384,0,96,398,1,1152,480
2021-10-14,../../mnt/data/research_data/2021-10-14_rrbs_peace_mouse,2021-10-14_rrbs_peace_mouse,___,  gf ,Peace mouse gf aging,RRBS,CBIX,,,,,Reduced-Representation Bisulfite Sequencing (RRBS-seq),Mouse,,,,Aging,,,,The Issa & Jelenik Lab,Peace Park,,66,0,16,1,0,192,116
